B2T_L
  CO_(40.0,42.25)_3.0, 3C_(-2.25,26.7)_8.0, 1C_(82.25,16.0)_24.0, HP_00:00
  CO_(30.0,42.25)_3.5, 3C_(-2.25,20.0)_7.0, 1C_(82.25,15.5)_24.5, HP_00:00
  CO_(20.0,42.25)_4.0, 3C_(-2.25,13.3)_6.0, 1C_(82.25,16.0)_24.0, HP_00:00
  CO_(20.0,42.25)_4.0, 3C_(-2.25,26.7)_8.0, 1C_(82.25,8.0)_32.0, HP_00:00
  CO_(10.0,42.25)_4.5, 3C_(-2.25,13.3)_6.0, 1C_(82.25,13.0)_27.0, HP_00:00
  CO_(-2.25,42.25)_5.0, 3C_(-2.25,13.3)_6.0, 1C_(82.25,10.0)_30.0, HP_00:00
  CO_(-2.25,42.25)_5.0, 3C_(-2.25,20.0)_7.0, 1C_(82.25,5.0)_35.0, HP_00:00
  CO_(-2.25,30.0)_6.0, 3C_(-2.25,6.7)_5.0, 1C_(82.25,10.0)_30.0, HP_00:00
  CO_(-2.25,20.0)_7.0, 3C_(-2.25,6.7)_5.0, 1C_(82.25,5.0)_35.0, HP_00:00
  CO_(-2.25,10.0)_8.0, 3C_(-2.25,0.0)_4.0, 1C_(82.25,8.0)_32.0, HP_00:00
